year,lake
1850,6407.0
1851,6406.0
1852,6405.0
1853,6408.0
1854,6408.0
1855,6407.0
1856,6407.0
1857,6407.0
1858,6406.0
1859,6405.0
1860,6405.0
1861,6404.0
1862,6411.0
1863,6410.0
1864,6408.0
1865,6407.0
1866,6406.0
1867,6409.0
1868,6412.0
1869,6412.0
1870,6411.0
1871,6412.0
1872,6412.0
1873,6412.0
1874,6412.0
1875,6412.0
1876,6412.0
1877,6412.0
1878,6412.0
1879,6413.0
1880,6413.0
1881,6413.0
1882,6412.0
1883,6411.0
1884,6409.0
1885,6409.0
1886,6409.0
1887,6409.0
1888,6409.0
1889,6409.0
1890,6410.0
1891,6412.0
1892,6413.0
1893,6413.0
1894,6416.0
1895,6416.0
1896,6416.0
1897,6417.0
1898,6416.0
1899,6416.0
1900,6416.0
1901,6415.0
1902,6416.0
1903,6416.0
1904,6416.0
1905,6417.0
1906,6417.0
1907,6420.0
1908,6421.0
1909,6420.0
1910,6421.0
1911,6422.0
1912,6423.0
1913,6423.0
1914,6425.0
1915,6426.0
1916,6426.0
1917,6426.0
1918,6427.0
1919,6427.0
1920,6426.0
1921,6426.0
1922,6426.0
1923,6426.0
1924,6425.0
1925,6424.0
1926,6423.0
1927,6423.0
1928,6422.0
1929,6421.0
1930,6420.0
1931,6418.0
1932,6418.0
1933,6417.0
1934,6415.0
1935,6415.0
1936,6415.0
1937,6415.0
1938,6418.0
1939,6418.0
1940,6417.0
1941,6417.0
1942,6418.0
1943,6418.0
1944,6417.0
1945,6417.0
1946,6417.0
1947,6416.0
1948,6414.0
1949,6412.0
1950,6410.0
1951,6408.0
1952,6409.0
1953,6408.0
1954,6405.0
1955,6403.0
1956,6402.0
1957,6401.0
1958,6402.0
1959,6400.0
1960,6398.0
1961,6396.0
1962,6394.0
1963,6393.0
1964,6391.0
1965,6389.0
1966,6387.0
1967,6389.0
1968,6387.0
1969,6389.0
1970,6388.0
1971,6386.0
1972,6384.0
1973,6383.0
1974,6381.0
1975,6379.0
1976,6378.0
1977,6376.0
1978,6375.0
1979,6373.4
1980,6373.9
1981,6372.3
1982,6372.8
1983,6378.6
1984,6380.1
1985,6378.7
1986,6380.2
1987,6379.0
1988,6377.3
1989,6375.4
1990,6375.2
1991,6374.3
1992,6373.7
1993,6374.8
1994,6374.6
1995,6377.8
1996,NA
1997,NA
1998,NA
1999,6384.4
2000,6383.8
2001,NA
2002,NA
2003,NA
2004,NA
2005,NA
2006,6384.5
2007,NA
2008,NA
2009,NA
2010,NA
2011,NA
2012,NA
2013,6380.6
2014,6379.3
2015,6378.2
2016,6377.33
2017,6381.47